2024-06-06 01:47:29,904 INFO    MainThread:144409 [wandb_setup.py:_flush():76] Configure stats pid to 144409
2024-06-06 01:47:29,905 INFO    MainThread:144409 [wandb_setup.py:_flush():76] Loading settings from /home/nlpintern1/.config/wandb/settings
2024-06-06 01:47:29,905 INFO    MainThread:144409 [wandb_setup.py:_flush():76] Loading settings from /import/home2/nlpintern1/songyc/finer_dpo/math-dpo-main/math-dpo-main/wandb/settings
2024-06-06 01:47:29,905 INFO    MainThread:144409 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-06 01:47:29,905 INFO    MainThread:144409 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-06 01:47:29,905 INFO    MainThread:144409 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'spin/dpo_llama2.py', 'program': '/import/home2/nlpintern1/songyc/finer_dpo/math-dpo-main/math-dpo-main/spin/dpo_llama2.py'}
2024-06-06 01:47:29,906 INFO    MainThread:144409 [wandb_init.py:_log_setup():506] Logging user logs to /import/home2/nlpintern1/songyc/finer_dpo/math-dpo-main/math-dpo-main/wandb/run-20240606_014729-2gx3wgh0/logs/debug.log
2024-06-06 01:47:29,906 INFO    MainThread:144409 [wandb_init.py:_log_setup():507] Logging internal logs to /import/home2/nlpintern1/songyc/finer_dpo/math-dpo-main/math-dpo-main/wandb/run-20240606_014729-2gx3wgh0/logs/debug-internal.log
2024-06-06 01:47:29,906 INFO    MainThread:144409 [wandb_init.py:init():546] calling init triggers
2024-06-06 01:47:29,906 INFO    MainThread:144409 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2024-06-06 01:47:29,906 INFO    MainThread:144409 [wandb_init.py:init():602] starting backend
2024-06-06 01:47:29,907 INFO    MainThread:144409 [wandb_init.py:init():606] setting up manager
2024-06-06 01:47:29,920 INFO    MainThread:144409 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-06 01:47:29,926 INFO    MainThread:144409 [wandb_init.py:init():613] backend started and connected
2024-06-06 01:47:29,939 INFO    MainThread:144409 [wandb_init.py:init():701] updated telemetry
2024-06-06 01:47:29,942 INFO    MainThread:144409 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
